"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-01","2001","01","01","","4.5","","-6.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-02","2001","01","02","","7.5","","-4.0","","1.8","","16.2","","0.0","","0.0","T","0.0","","0.0","T","7","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-03","2001","01","03","","9.0","","0.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-04","2001","01","04","","4.0","","-3.0","","0.5","","17.5","","0.0","","0.6","","0.0","","0.6","","7","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-05","2001","01","05","","4.5","","-3.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-06","2001","01","06","","3.0","","-4.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-07","2001","01","07","","4.5","","-8.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-08","2001","01","08","","4.5","","-10.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-09","2001","01","09","","5.5","","-9.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-10","2001","01","10","","5.0","","-10.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-11","2001","01","11","","-0.5","","-10.0","","-5.3","","23.3","","0.0","","0.0","","0.0","T","0.0","T","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-12","2001","01","12","","-7.5","","-11.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-13","2001","01","13","","-8.0","","-19.0","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-14","2001","01","14","","-2.0","","-18.0","","-10.0","","28.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-15","2001","01","15","","0.0","","-17.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-16","2001","01","16","","5.0","","-6.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-17","2001","01","17","","3.5","","-11.5","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-18","2001","01","18","","5.0","","-7.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-19","2001","01","19","","5.0","","-11.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-20","2001","01","20","","0.0","","-9.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-21","2001","01","21","","3.5","","-10.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"-118.64","55.45","SEXSMITH WIEBE","3075858","2001-01-22","2001","01","22","","3.0","","-9.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
